GEOID;DESIGNACAO;IVolumetria;vagos_perc;IMedia_edif;aloj_habitual_perc;dimensao_aloj;aloj_por_familia;arrendamento_perc;ind_envelhecimento;ind_qualificacoes;ind_migraçao;primario_perc;secundario_perc;terciario_perc;divisoes_n;FAC1_3;FAC2_3;FAC3_3;FAC4_3;FAC5_3;CLU6_1;populacao;COVIDConfirmadosAcum;COVID_confirmados_10mil_hab
213;Serpa;1.52;0.08;58.73;0.58;119.02;1.7;0.04;144.9;7.53;95.81;0.19;0.17;0.65;3.34;-0.23;-0.29;0.25;-1.36;1.35;5;15623;46;29.44
214;Vidigueira;1.51;0.16;50.75;0.59;144.37;1.66;0.05;127.52;7.64;97.2;0.19;0.15;0.66;3.41;0.03;0.56;-1.62;0.32;1.61;1;5932;8;13.49
301;Amares;1.71;0.05;30.02;0.64;142.73;1.56;0.06;71.56;7.6;97.14;0.04;0.33;0.63;3.39;0.34;-0.15;-0.98;0.13;-2.09;2;18889;157;83.12
302;Barcelos;1.71;0.09;31.94;0.8;137.83;1.25;0.07;59.26;7.31;95.55;0.03;0.54;0.42;3.38;1.24;-2.04;-0.86;-0.07;-1.22;2;120391;751;62.38
303;Braga;2.44;0.13;30.01;0.75;138.03;1.32;0.17;58.97;8.75;98;0.01;0.3;0.69;3.42;1.35;0.7;0.36;1.41;-1.22;3;181494;2049;112.9
304;Cabeceiras de Basto;1.69;0.08;33.52;0.6;122.1;1.66;0.06;83.64;7.33;94.6;0.07;0.35;0.57;3.37;0.04;-0.95;0;-0.14;-1.06;2;16710;60;35.91
305;Celorico de Basto;1.63;0.13;35.73;0.64;126.41;1.57;0.06;88.66;7.07;95.36;0.06;0.41;0.53;3.4;0.26;-1.21;-0.59;0.25;-0.17;1;20098;63;31.35
306;Esposende;1.86;0.06;28.03;0.52;140.66;1.89;0.04;64.78;7.8;95.5;0.05;0.42;0.52;3.43;-0.28;-0.82;-0.64;1.2;-2.32;2;34254;218;63.64
307;Fafe;1.73;0.11;31.93;0.7;121.15;1.43;0.16;77.59;7.24;96.75;0.01;0.5;0.49;3.42;0.92;-1.53;0.2;0.2;-0.99;2;50633;347;68.53
308;Guimarães;1.88;0.09;33.95;0.8;125.83;1.24;0.25;62.25;7.54;97.82;0.01;0.51;0.48;3.42;1.78;-1.55;0.61;-0.07;-1.14;2;158124;2168;137.11
309;Póvoa de Lanhoso;1.68;0.08;31.91;0.62;131.71;1.6;0.08;77.75;7.16;98.14;0.03;0.44;0.53;3.4;0.33;-0.95;-0.63;-0.17;-1.68;2;21886;189;86.36
310;Terras de Bouro;1.61;0.09;36.16;0.51;120.12;1.96;0.01;130.23;7.07;99.96;0.08;0.25;0.67;3.32;-0.65;0.46;-0.61;-1.34;-1;4;7253;45;62.04
311;Vieira do Minho;1.63;0.08;35.64;0.55;130.56;1.8;0.03;116.41;7.12;95.83;0.05;0.33;0.63;3.34;-0.35;-0.5;-0.61;-0.48;-0.92;4;12997;48;36.93
312;Vila Nova de Famalicão;1.8;0.09;31.82;0.81;137.13;1.23;0.14;61.86;7.7;97.1;0.01;0.5;0.49;3.43;1.46;-1.36;-0.5;0.47;-1.3;2;133832;1195;89.29
313;Vila Verde;1.75;0.08;30.73;0.67;140.77;1.48;0.05;74.88;7.37;96.43;0.03;0.4;0.56;3.38;0.5;-0.82;-0.98;0.12;-1.57;2;47888;534;111.51
314;Vizela;1.82;0.08;30.94;0.87;122.51;1.15;0.23;48.68;7.1;96.71;0;0.63;0.37;3.41;2;-2.72;0.7;-0.36;-1.54;2;23736;416;175.26
401;Alfândega da Fé;1.63;0.13;37.89;0.52;127.81;1.91;0.04;220.74;7.16;96.18;0.16;0.22;0.61;3.37;-0.96;-0.2;-0.34;0.15;0.11;4;5104;27;52.9
402;Bragança;2.05;0.06;33.85;0.55;138.05;1.8;0.08;135.13;8.57;100.8;0.05;0.17;0.79;3.39;-0.18;1.76;-0.28;0.38;-1.81;6;35341;618;174.87
403;Carrazeda de Ansiães;1.62;0.07;41.59;0.5;120.07;1.99;0.03;221.55;6.77;95.01;0.24;0.19;0.57;3.35;-1.26;-0.8;0.49;-0.51;-0.24;4;6373;9;14.12
404;Freixo de Espada À Cin;1.82;0.03;43.08;0.48;114.78;2.06;0.05;222;6.67;98.81;0.2;0.17;0.63;3.35;-1.34;-0.27;1.16;-1.2;-1.1;5;3780;26;68.78
405;Macedo de Cavaleiros;1.84;0.12;39.02;0.53;131.23;1.87;0.05;172.17;7.48;96.13;0.14;0.17;0.69;3.36;-0.65;0.37;-0.2;0.26;0;4;15776;156;98.88
406;Miranda do Douro;1.77;0.09;33.68;0.55;144.42;1.82;0.04;227.94;7.57;96.38;0.11;0.21;0.68;3.3;-0.65;0.29;-0.75;-0.33;-0.9;4;7482;77;102.91
407;Mirandela;1.81;0.1;35.86;0.62;128.94;1.6;0.08;145.03;7.81;97.59;0.11;0.18;0.71;3.38;0.01;0.64;-0.18;0.1;-0.58;4;23850;78;32.7
408;Mogadouro;1.68;0.09;36.82;0.55;134.67;1.83;0.03;236.79;7.34;96.47;0.19;0.21;0.6;3.39;-0.94;-0.19;-0.33;0.42;-0.49;4;9542;94;98.51
409;Torre de Moncorvo;1.76;0.14;44.17;0.51;123.34;1.96;0.05;262.71;7.12;98.04;0.17;0.19;0.63;3.39;-1.18;0.06;0.18;0.23;0.76;4;8572;37;43.16
410;Vila Flor;1.7;0.14;39.95;0.52;122.62;1.92;0.06;186.02;7.08;96.83;0.2;0.24;0.56;3.21;-0.38;-0.33;-0.23;-2.2;0.25;5;6697;43;64.21
411;Vimioso;1.73;0.07;34.03;0.42;139.44;2.36;0.02;316.61;6.72;96.87;0.13;0.23;0.64;3.4;-2.22;-0.23;-0.09;0.83;-1.24;4;4669;94;201.33
412;Vinhais;1.61;0.03;40.6;0.54;119.26;1.86;0.02;333.98;6.54;97.35;0.16;0.21;0.63;3.34;-1.59;-0.77;0.85;-1.02;-0.84;5;9066;67;73.9
501;Belmonte;1.82;0.14;35.93;0.55;118.86;1.8;0.09;160.24;7.4;96.68;0.05;0.34;0.61;3.41;-0.37;-0.45;0.35;0.67;-0.17;4;6859;43;62.69
502;Castelo Branco;1.88;0.1;41.32;0.6;119.29;1.65;0.09;137.55;8.41;97.02;0.03;0.25;0.73;3.38;0.1;0.53;0.56;0.15;-0.14;4;56109;144;25.66
503;Covilhã;2.28;0.15;40.4;0.6;113.39;1.66;0.14;140.41;8.04;102.21;0.02;0.29;0.68;3.39;0.29;0.78;1.04;-0.08;-0.25;4;51797;65;12.55
504;Fundão;1.95;0.16;36.91;0.54;117.3;1.84;0.07;167.18;7.63;96.21;0.07;0.27;0.66;3.36;-0.46;0.07;0.43;0.33;0.23;4;29213;50;17.12
505;Idanha-a-Nova;1.66;0.09;42.11;0.37;106.18;2.7;0.01;361.27;6.75;100.62;0.16;0.18;0.66;3.34;-2.71;0.33;1.03;-0.96;-0.35;4;9716;36;37.05
506;Oleiros;2.41;0.06;41.1;0.5;104.16;2.01;0.02;379.06;6.63;90.98;0.09;0.32;0.59;3.42;-2.4;-2.24;3.57;1.6;-0.29;4;5721;17;29.72
507;Penamacor;1.68;0.12;41.36;0.4;101.31;2.47;0.01;397.6;6.66;94.23;0.12;0.27;0.61;3.33;-2.65;-1.13;1.76;-0.12;0.6;4;5682;26;45.76
508;Proença-a-Nova;1.83;0.08;36.83;0.54;124.7;1.86;0.02;236.07;7.33;93.67;0.06;0.31;0.62;3.43;-1.23;-0.98;0.75;1.34;-0.65;4;8314;10;12.03
509;Sertã;1.74;0.1;39.95;0.54;117.57;1.84;0.03;155.79;7.3;94.72;0.07;0.31;0.62;3.4;-0.73;-0.74;0.48;0.45;-0.2;4;15880;15;9.45
510;Vila de Rei;1.8;0.08;35.06;0.45;115.2;2.23;0.02;282.51;6.88;97.22;0.04;0.28;0.68;3.4;-1.97;-0.33;0.96;0.53;-1.08;4;3452;3;8.69
511;Vila Velha de Ródão;1.53;0.07;44.74;0.45;115.65;2.19;0.02;439.83;6.62;99.72;0.05;0.31;0.64;3.37;-2.38;-0.72;1.05;-0.55;-0.26;4;3521;14;39.76
601;Arganil;2.05;0.11;47.82;0.45;116.95;2.19;0.03;186.64;7.1;96.6;0.04;0.39;0.57;3.38;-1.23;-1.06;1.1;0.02;0.12;4;12145;17;14
602;Cantanhede;1.59;0.14;36.54;0.66;144.29;1.49;0.05;141.02;7.69;96.11;0.05;0.29;0.66;3.39;0.27;0.04;-1.49;0.64;0.14;1;36595;223;60.94
603;Coimbra;2.11;0.15;37.82;0.72;125.83;1.37;0.16;115;9.36;104.2;0.01;0.15;0.84;3.37;1.3;2.7;-0.17;-0.24;-0.27;3;143396;981;68.41
604;Condeixa-a-Nova;1.77;0.18;37.36;0.73;142.8;1.36;0.07;93.44;8.59;96.05;0.01;0.21;0.78;3.43;0.84;1.19;-1.42;1.56;0.78;1;17078;192;112.43
605;Figueira da Foz;1.89;0.12;37.42;0.56;124.46;1.77;0.08;129.67;8.27;94.16;0.04;0.32;0.65;3.39;-0.14;-0.19;0.35;0.9;-0.17;4;62125;134;21.57
606;Góis;1.96;0.12;52.23;0.34;116.98;2.9;0.02;228.71;7;96.36;0.06;0.31;0.63;3.36;-2.29;-0.52;1.15;0.03;0.56;4;4260;26;61.03
607;Lousã;1.88;0.2;42.01;0.64;132.73;1.54;0.1;86.26;8.08;95.76;0.03;0.27;0.71;3.42;0.56;0.47;-0.63;1.21;1.26;1;17604;34;19.31
608;Mira;1.61;0.13;35.09;0.54;142.98;1.83;0.03;146.57;7.68;95.9;0.08;0.28;0.64;3.36;-0.37;0.16;-1.41;0.36;-0.31;1;12465;26;20.86
609;Miranda do Corvo;1.77;0.2;40.05;0.66;135.09;1.51;0.04;112.13;7.61;95.3;0.03;0.21;0.76;3.44;0.17;0.64;-1.11;1.54;1.41;1;13098;35;26.72
610;Montemor-o-velho;1.59;0.17;37.98;0.73;136.33;1.34;0.03;126.48;7.92;95.17;0.06;0.26;0.68;3.35;0.63;0.21;-1.43;0.24;0.89;1;26171;96;36.68
611;Oliveira do Hospital;2.01;0.14;40.67;0.58;118.79;1.72;0.07;129.39;7.2;95.76;0.03;0.43;0.54;3.38;-0.12;-1.26;0.66;0.15;0.03;4;20855;46;22.06
612;Pampilhosa da Serra;2.16;0.08;40.39;0.36;115.06;2.8;0.02;401.91;6.37;96.99;0.02;0.32;0.66;3.4;-3.27;-0.86;2.2;0.96;-0.83;4;4481;3;6.69
613;Penacova;2.01;0.12;39.24;0.68;140.02;1.43;0.02;143.45;7.08;95.59;0.03;0.28;0.68;3.38;0.03;-0.39;-0.4;0.54;-0.09;1;15251;77;50.49
614;Penela;1.65;0.32;43.31;0.5;124.06;2;0.02;172.81;7.32;96.84;0.02;0.29;0.69;3.4;-0.69;0.62;-1.48;1.29;3.04;1;5983;9;15.04
615;Soure;1.61;0.18;41.46;0.65;129.59;1.53;0.03;174.53;7.76;95.84;0.03;0.24;0.73;3.4;-0.07;0.39;-0.91;0.78;1.29;1;19245;47;24.42
616;Tábua;1.76;0.12;45.28;0.52;121.18;1.92;0.04;134.24;7.13;96.45;0.05;0.39;0.56;3.37;-0.52;-1.01;0.14;-0.27;0.18;4;12071;47;38.94
617;Vila Nova de Poiares;1.76;0.14;37.78;0.6;136.85;1.66;0.05;102.42;7.49;95.4;0.02;0.27;0.71;3.4;-0.01;0.18;-0.87;0.84;0.17;1;7281;20;27.47
701;Alandroal;1.51;0.11;45.18;0.53;119.03;1.9;0.05;194.85;6.87;96.12;0.17;0.3;0.52;3.36;-0.76;-1.09;0.05;-0.62;0.48;4;5843;8;13.69
702;Arraiolos;1.52;0.14;45.82;0.63;125.1;1.59;0.08;151.41;7.66;96.71;0.12;0.25;0.63;3.38;0.17;-0.11;-0.48;-0.28;1.01;1;7363;30;40.74
703;Borba;1.54;0.15;45.68;0.7;111.51;1.43;0.13;164.09;7.57;95.51;0.12;0.28;0.61;3.35;0.59;-0.63;0.42;-0.73;1.45;1;7333;45;61.37
704;Estremoz;1.6;0.19;52.66;0.61;114.6;1.61;0.12;173.11;7.91;96.05;0.1;0.2;0.7;3.41;0.12;0.29;0.28;0.26;2.46;1;14318;34;23.75
705;Évora;1.65;0.12;41.9;0.77;113.68;1.29;0.2;101.72;8.85;98.61;0.04;0.18;0.78;3.36;1.49;1.26;0.37;-0.69;0.57;3;56596;230;40.64
706;Montemor-o-Novo;1.6;0.12;43.45;0.68;113.3;1.47;0.15;176.47;7.63;96.89;0.14;0.2;0.66;3.34;0.48;-0.05;0.59;-0.94;0.76;1;17437;104;59.64
707;Mora;1.51;0.24;42.33;0.53;117.1;1.89;0.08;239.31;7.06;96.89;0.12;0.21;0.67;3.43;-0.88;0.27;-0.47;1.09;2.23;1;4978;65;130.57
708;Mourão;1.5;0.12;38.95;0.51;144.81;1.95;0.05;118.78;7.12;98.27;0.12;0.17;0.71;3.47;-0.69;0.82;-1.66;1.21;-0.13;6;2663;7;26.29
709;Portel;1.5;0.19;53.14;0.6;124.47;1.65;0.05;162.51;7.01;103.64;0.19;0.22;0.58;3.38;0.03;0.51;-1.3;-1.29;1.7;1;6428;6;9.33
710;Redondo;1.53;0.12;56.49;0.61;118.86;1.62;0.13;143.62;7.29;96.86;0.2;0.2;0.6;3.39;0.2;-0.47;0.33;-0.8;1.7;1;7031;49;69.69
711;Reguengos de Monsaraz;1.52;0.07;47.93;0.64;132.43;1.54;0.07;125.25;7.68;95.47;0.14;0.2;0.66;3.42;0.09;-0.18;-0.3;0.2;0.3;4;10828;192;177.32
712;poiares;1.64;0.15;38.95;0.73;119.71;1.36;0.12;133.9;7.75;95.7;0.07;0.28;0.66;3.42;0.67;-0.19;-0.02;0.62;0.83;1;11846;21;17.73
713;Viana do Alentejo;1.51;0.17;39.62;0.61;135.89;1.62;0.06;135.83;7.59;96.29;0.12;0.22;0.66;3.42;0.02;0.3;-1.31;0.84;0.86;1;5743;12;20.9
714;Vila Viçosa;1.59;0.13;45.52;0.69;109.36;1.43;0.14;133.63;7.73;96.47;0.05;0.32;0.63;3.27;0.95;-0.49;0.54;-2.01;0.94;5;8319;24;28.85
801;Albufeira;1.94;0.12;26.37;0.37;111.95;2.63;0.09;62.33;8.6;121.43;0.01;0.13;0.86;3.3;-0.39;5.48;-1.81;-3.23;-3.61;6;40828;385;94.3
802;Alcoutim;1.54;0.13;45.62;0.39;99;2.58;0.01;401.88;6.67;99.18;0.1;0.16;0.74;3.21;-2.53;0.46;1.1;-2.42;0.8;5;2917;18;61.71
803;Aljezur;1.55;0.11;29.46;0.45;120.06;2.24;0.04;190.37;8.28;98.98;0.1;0.2;0.7;3.39;-1.17;1.23;-0.48;0.53;-1.17;6;5884;11;18.69
804;Castro Marim;1.59;0.08;28.16;0.33;115.35;2.97;0.03;155.3;7.54;104.77;0.04;0.19;0.77;3.35;-1.96;2.25;-0.66;-0.88;-2.45;6;6747;44;65.21
805;Faro;2.05;0.15;41.61;0.69;114.71;1.41;0.19;93.53;9.06;98.31;0.03;0.13;0.84;3.39;1.11;1.79;0.81;0.3;0.71;3;64560;311;48.17
806;Lagoa (R. Algarve);1.73;0.09;28.59;0.45;121.97;2.2;0.07;85.33;8.19;105.34;0.02;0.16;0.82;3.39;-0.58;2.71;-0.9;-0.36;-2.27;6;22975;74;32.21
807;Lagos;1.92;0.12;29.1;0.46;116.72;2.16;0.09;91.46;8.57;99.63;0.02;0.17;0.81;3.4;-0.56;2.02;0.01;0.66;-1.34;6;31049;272;87.6
808;Loulé;1.86;0.14;32.59;0.42;116.67;2.32;0.09;98.38;8.26;101.37;0.02;0.18;0.8;3.34;-0.61;2.16;-0.28;-0.41;-0.94;6;70622;337;47.72
809;Monchique;1.57;0.21;51.6;0.56;100.69;1.78;0.07;230.72;7.43;97.72;0.08;0.2;0.72;3.4;-0.64;0.39;0.52;0.05;2.68;1;6045;17;28.12
810;Olhão;1.87;0.14;43.01;0.66;111.69;1.49;0.14;80.84;8.07;97.65;0.06;0.18;0.76;3.39;0.72;0.87;0.58;-0.14;0.7;3;45396;100;22.03
811;Portimão;2.24;0.11;34.14;0.47;109.69;2.07;0.1;88.66;8.56;101.65;0.01;0.16;0.83;3.38;-0.37;2.17;0.91;0.05;-1.29;6;55614;294;52.86
812;São Brás de Alportel;1.66;0.11;40.68;0.64;134.08;1.53;0.09;117.04;8.21;96.81;0.02;0.22;0.77;3.43;0.31;0.77;-0.57;0.82;0.03;1;10662;30;28.14
813;Silves;1.8;0.13;40.15;0.45;116.12;2.18;0.06;121.41;7.99;99.36;0.06;0.17;0.78;3.38;-0.77;1.48;0;0.01;-0.12;6;37126;108;29.09
814;Tavira;1.8;0.14;37.85;0.41;114.44;2.39;0.07;134.48;8.11;103.41;0.07;0.18;0.75;3.39;-0.98;2.05;-0.26;-0.18;-0.6;6;26167;139;53.12
815;Vila do Bispo;1.56;0.13;27.71;0.38;105.22;2.62;0.05;150.35;7.85;107.89;0.08;0.11;0.81;3.32;-1.28;3.18;-0.87;-1.68;-1.79;6;5258;25;47.55
816;Vila Real de Santo Ant;2.02;0.17;33.39;0.37;106.42;2.64;0.07;94.44;7.9;107.52;0.03;0.16;0.81;3.44;-1.26;2.99;-0.18;0.19;-1.17;6;19156;126;65.78
901;Aguiar da Beira;1.77;0.17;36.63;0.43;126.41;2.32;0.02;181.71;6.87;97.09;0.13;0.25;0.63;3.39;-1.45;0.11;-0.5;0.57;0.13;4;5473;32;58.47
902;Almeida;1.65;0.07;40.08;0.45;126.51;2.2;0.03;309.38;7.1;96.08;0.09;0.18;0.73;3.4;-1.97;0.1;0.55;0.7;-0.43;4;7242;17;23.47
903;Celorico da Beira;1.78;0.19;37.45;0.48;121.52;2.07;0.04;174.33;7.12;97.1;0.08;0.28;0.65;3.38;-0.93;0.13;-0.37;0.46;0.63;4;7693;15;19.5
904;Figueira Castelo Rodri;1.66;0.17;41.62;0.46;115.71;2.16;0.03;217.57;7.04;96.33;0.21;0.18;0.61;3.28;-1.14;0.06;-0.05;-1.15;0.94;5;6260;26;41.53
905;Fornos de Algodres;1.89;0.15;43.45;0.49;119.65;2.03;0.04;202.03;6.85;95.47;0.06;0.26;0.69;3.35;-1.1;-0.28;0.52;0.04;0.72;4;4989;9;18.04
906;Gouveia;2.22;0.18;40.39;0.5;120.35;1.98;0.06;213.9;7.13;96.48;0.08;0.23;0.7;3.36;-0.99;0.15;0.84;0.63;0.76;4;14046;38;27.05
907;Guarda;2.14;0.12;37.19;0.58;126.7;1.7;0.08;110.43;8.57;95.73;0.02;0.2;0.77;3.38;0.05;0.94;0.47;0.81;-0.37;4;42541;193;45.37
908;Manteigas;2.07;0.07;38.18;0.53;106.16;1.88;0.06;193.35;6.98;103.03;0.05;0.26;0.69;3.38;-0.84;0.42;1.19;-0.98;-1.4;5;3430;8;23.32
909;Meda;1.85;0.15;40.98;0.45;123.5;2.22;0.03;245.27;6.82;96.96;0.17;0.24;0.6;3.38;-1.57;-0.29;0.21;0.39;0.42;4;5202;8;15.38
910;Pinhel;1.77;0.18;36.85;0.48;117.78;2.07;0.03;221.52;7.05;96.25;0.12;0.26;0.63;3.36;-1.2;-0.14;0;0.36;0.61;4;9627;60;62.32
911;Sabugal;1.8;0.08;37.27;0.34;121.75;2.89;0.01;352.53;6.88;96.52;0.09;0.29;0.62;3.38;-2.97;-0.52;1.04;0.64;-1.04;4;12544;21;16.74
912;Seia;2.43;0.16;43.79;0.54;121.68;1.85;0.06;163.38;7.34;96.22;0.03;0.32;0.66;3.37;-0.54;-0.38;1.2;0.52;0.44;4;24702;33;13.36
913;Trancoso;1.66;0.18;41.76;0.47;127.77;2.12;0.03;184.07;7.24;97.66;0.1;0.25;0.64;3.4;-1.04;0.29;-0.77;0.68;0.9;4;9878;39;39.48
914;Vila Nova de Foz Côa;1.76;0.1;38.16;0.46;121.4;2.15;0.06;204.13;7.08;95.34;0.24;0.18;0.58;3.3;-1.14;-0.32;0.4;-0.85;-0.33;5;7312;51;69.75
1001;Alcobaça;1.68;0.15;37.32;0.63;126.27;1.58;0.07;103.44;7.71;95.52;0.05;0.38;0.58;3.41;0.27;-0.63;-0.51;0.64;0.17;1;56693;259;45.68
1002;Alvaiázere;1.61;0.14;41.41;0.52;122.56;1.9;0.02;215.99;7.01;95.77;0.04;0.34;0.62;3.38;-0.96;-0.7;-0.13;0.27;0.51;4;7287;58;79.59
1003;Ansião;1.61;0.16;41.27;0.6;137.03;1.64;0.03;153.75;7.45;95.92;0.02;0.37;0.61;3.43;-0.18;-0.52;-1.12;1.16;0.76;1;13128;12;9.14
1004;Batalha;1.65;0.14;33.46;0.71;141.51;1.39;0.05;88.52;7.8;96.23;0.02;0.41;0.57;3.43;0.68;-0.54;-1.47;1.07;-0.31;1;15805;59;37.33
1005;Bombarral;1.67;0.17;40.5;0.64;130.72;1.54;0.09;122.89;7.53;95.45;0.16;0.21;0.63;3.41;0.24;0.03;-0.72;0.75;1.08;1;13193;42;31.84
1006;Caldas da Rainha;1.81;0.16;35.61;0.66;122.13;1.51;0.12;105.23;8.26;95.79;0.04;0.23;0.73;3.41;0.53;0.65;-0.04;0.9;0.38;1;51729;207;40.02
1007;Castanheira de Pêra;1.7;0.12;42.31;0.48;114.71;2.05;0.06;208.33;6.83;97.12;0.04;0.37;0.6;3.37;-1.05;-0.85;0.54;-0.24;0.14;4;3191;0;0
1008;Figueiró dos Vinhos;1.59;0.17;39.66;0.53;117.87;1.89;0.04;195.4;7.18;96.17;0.04;0.27;0.69;3.41;-0.87;-0.02;-0.23;0.72;0.89;4;6169;29;47.01
1009;Leiria;1.85;0.13;34.39;0.71;136.44;1.39;0.09;83.49;8.4;96.67;0.02;0.34;0.64;3.39;0.92;0.12;-0.73;0.66;-0.45;1;126897;367;28.92
1010;Marinha Grande;1.73;0.16;34.03;0.7;130.79;1.42;0.11;92.88;8.18;95.51;0;0.47;0.52;3.41;0.92;-0.92;-0.63;0.95;-0.02;1;38681;86;22.23
1011;Nazaré;1.98;0.12;35.82;0.45;110.88;2.2;0.1;105.13;7.72;96.82;0.07;0.24;0.69;3.39;-0.76;0.46;0.87;0.43;-0.58;4;15158;38;25.07
1012;Óbidos;1.6;0.13;30.29;0.5;131.78;1.96;0.05;113.85;7.66;98.96;0.1;0.21;0.69;3.4;-0.51;1.06;-1.29;0.46;-0.86;6;11772;25;21.24
1013;Pedrógão Grande;1.64;0.11;40.52;0.45;114.45;2.2;0.02;213.17;7.04;97.57;0.06;0.24;0.7;3.41;-1.55;0.16;0.3;0.31;-0.08;4;3915;5;12.77
1014;Peniche;1.83;0.09;32.27;0.51;111.49;1.93;0.1;103.28;7.6;96.09;0.1;0.25;0.65;3.4;-0.43;0.01;0.75;0.26;-1.07;4;27753;123;44.32
1015;Pombal;1.69;0.15;36.79;0.62;131.31;1.61;0.05;125.02;7.6;95.65;0.03;0.39;0.58;3.42;0.05;-0.67;-0.74;0.91;0.11;1;55217;169;30.61
1016;Porto de Mós;1.63;0.12;37.32;0.7;139.97;1.4;0.07;101.59;7.58;95.13;0.03;0.43;0.55;3.41;0.66;-1.1;-0.99;0.63;-0.19;1;24342;77;31.63
1101;Alenquer;1.81;0.17;38.51;0.69;115.96;1.41;0.09;81.23;7.93;98;0.03;0.28;0.69;3.42;0.72;0.43;-0.17;0.45;0.59;1;43267;460;106.32
1102;Arruda dos Vinhos;1.82;0.15;38.93;0.74;124.5;1.33;0.11;74.68;8.26;97.36;0.02;0.23;0.75;3.43;0.97;0.79;-0.31;0.73;0.44;1;13391;159;118.74
1103;Azambuja;1.65;0.16;36.87;0.68;109.51;1.46;0.08;105.55;7.75;96.71;0.04;0.22;0.74;3.41;0.41;0.53;-0.05;0.3;0.73;1;21814;304;139.36
1104;Cadaval;1.63;0.09;37.01;0.63;126.49;1.57;0.05;138.01;7.31;95.73;0.1;0.24;0.66;3.4;-0.15;-0.2;-0.31;0.31;-0.33;1;14228;59;41.47
1105;Cascais;2.27;0.13;31.69;0.75;116.04;1.33;0.18;84.52;9.59;96.06;0;0.13;0.86;3.37;1.27;1.81;1.21;0.87;-0.41;3;206479;3054;147.91
1106;Lisboa;3.76;0.15;60.13;0.73;97.48;1.33;0.31;137.92;9.68;99.93;0;0.11;0.89;3.32;1.54;1.7;5.44;-0.17;1.44;3;547733;9202;168
1107;Loures;2.37;0.12;37.52;0.8;97.79;1.23;0.24;82.02;8.48;95.92;0.01;0.18;0.81;3.39;1.41;0.66;2.64;0.22;0.07;3;205054;4164;203.07
1108;Lourinhã;1.74;0.14;32.16;0.58;124.98;1.69;0.07;94.55;7.68;95.33;0.12;0.25;0.63;3.4;-0.01;0.09;-0.47;0.68;-0.23;1;25735;76;29.53
1109;Mafra;1.92;0.12;32.76;0.67;127.89;1.49;0.12;62.15;8.6;96.25;0.03;0.23;0.75;3.42;0.71;0.89;-0.11;1.12;-0.63;1;76685;896;116.84
1110;Oeiras;3.2;0.1;34.39;0.82;110.61;1.2;0.19;95.12;9.95;96.15;0;0.12;0.87;3.39;1.41;1.62;3.38;1.43;-0.94;3;172120;2334;135.6
1111;Sintra;2.41;0.13;36.43;0.78;102.57;1.27;0.16;58.06;8.69;95.69;0;0.2;0.8;3.44;1.14;0.72;2.1;1.16;-0.04;3;377835;7454;197.28
1112;Sobral  de Monte Agraç;1.72;0.18;38.39;0.72;127.21;1.37;0.12;82.98;7.81;97.53;0.03;0.27;0.7;3.44;0.9;0.46;-0.71;0.84;0.81;1;10156;75;73.85
1113;Torres Vedras;1.72;0.13;35.18;0.66;123.94;1.5;0.09;95.11;7.98;96.67;0.06;0.27;0.67;3.4;0.5;0.27;-0.36;0.39;-0.13;1;79465;448;56.38
1114;Vila Franca de Xira;2.89;0.11;37.29;0.81;104.04;1.22;0.17;60.68;8.66;96.63;0.01;0.2;0.79;3.43;1.22;0.61;2.95;1.13;-0.53;3;136886;2185;159.62
1115;Amadora;3.62;0.11;37.22;0.82;85.32;1.2;0.25;93.26;8.54;96.51;0;0.15;0.84;3.38;1.22;0.6;5.51;0.69;-0.75;3;175136;3722;212.52
1116;Odivelas;2.85;0.1;31.49;0.82;97.33;1.2;0.22;80.56;8.61;95.63;0;0.16;0.84;3.42;1.22;0.79;3.46;1.16;-0.87;3;144549;2888;199.79
1201;Alter do Chão;1.56;0.16;46.09;0.47;121.5;2.1;0.09;220.19;7.34;91.94;0.18;0.14;0.68;3.39;-1.17;-0.2;0.4;0.89;1.7;4;3562;7;19.65
1202;Arronches;1.54;0.22;46.39;0.49;113.32;2.05;0.11;225.53;7.31;98.17;0.12;0.15;0.73;3.39;-0.82;0.89;-0.1;0.14;2.21;1;3165;3;9.48
1203;Avis;1.51;0.15;46.45;0.5;118.6;1.98;0.05;188.72;7.26;96.7;0.19;0.16;0.64;3.36;-0.8;0.21;-0.26;-0.39;1.29;1;4571;10;21.88
1204;Campo Maior;1.58;0.12;44.38;0.66;122.68;1.51;0.11;104.03;7.88;96.48;0.07;0.32;0.61;3.33;0.75;-0.34;-0.23;-0.94;0.54;5;8456;13;15.37
1205;Castelo de Vide;2.08;0.13;50.85;0.48;106.71;2.05;0.08;226.25;7.75;98.77;0.06;0.18;0.77;3.41;-1.1;0.72;1.66;0.27;0.94;4;3407;0;0
1206;Crato;1.53;0.1;43.46;0.47;116.43;2.11;0.03;273.74;6.93;98.95;0.07;0.21;0.72;3.38;-1.56;0.26;0.26;-0.33;0.1;4;3708;7;18.88
1207;Elvas;1.75;0.17;46.1;0.66;113.48;1.51;0.16;105.83;7.99;95.93;0.08;0.14;0.77;3.33;0.8;0.82;0.47;-0.71;1.59;3;23078;41;17.77
