GEOID;DESIGNACAO;IVolumetria;vagos_perc;IMedia_edif;aloj_habitual_perc;dimensao_aloj;aloj_por_familia;arrendamento_perc;ind_envelhecimento;ind_qualificacoes;ind_migraçao;primario_perc;secundario_perc;terciario_perc;divisoes_n;FAC1_3;FAC2_3;FAC3_3;FAC4_3;FAC5_3;CLU6_1;populacao;COVIDConfirmadosAcum;COVID_confirmados_10mil_hab
1711;Santa Marta de Penagui;1.85;0.1;38.92;0.59;122.18;1.67;0.04;146.34;6.9;95.66;0.27;0.2;0.53;3.35;-0.36;-0.73;0.21;-0.54;-0.18;5;7356;13;17.67
1712;Valpaços;1.72;0.07;36.32;0.52;134.38;1.92;0.03;215.21;6.59;97.83;0.22;0.19;0.58;3.35;-1.09;-0.32;-0.35;-0.49;-1.02;5;16882;47;27.84
1713;Vila Pouca de Aguiar;1.65;0.06;35.36;0.52;125.24;1.94;0.03;155.27;6.93;97.06;0.1;0.29;0.61;3.34;-0.8;-0.47;-0.14;-0.76;-1.37;5;13187;69;52.32
1714;Vila Real;1.97;0.12;31.9;0.64;137;1.56;0.1;88.86;8.66;101.8;0.04;0.17;0.79;3.39;0.59;2.09;-0.93;0.34;-1.19;3;51850;346;66.73
1801;Armamar;1.65;0.18;40.35;0.47;124.75;2.13;0.02;131.9;6.85;94.52;0.23;0.2;0.57;3.35;-0.93;-0.27;-0.7;-0.02;1.01;4;6297;15;23.82
1802;Carregal do Sal;1.66;0.15;39.92;0.56;122.28;1.77;0.04;133;7.15;95.86;0.04;0.39;0.57;3.37;-0.26;-0.86;-0.4;0.03;0.42;4;9835;18;18.3
1803;Castro Daire;1.72;0.08;36.81;0.47;114.9;2.1;0.02;141.65;6.82;96.31;0.09;0.26;0.65;3.32;-1.07;-0.3;0.28;-1;-0.91;5;15339;125;81.49
1804;Cinfães;1.65;0.08;39.73;0.62;107.2;1.6;0.06;98.76;6.6;92.83;0.08;0.44;0.48;3.34;0.03;-2.33;0.94;-1.04;-0.37;2;20427;228;111.62
1805;Lamego;1.88;0.13;40.2;0.6;124.74;1.66;0.08;103.37;7.81;95.36;0.08;0.21;0.7;3.37;0.08;0.31;0.02;0.28;0.32;4;26691;78;29.22
1806;Mangualde;1.94;0.2;40.09;0.57;130.07;1.71;0.06;127.1;7.45;94.88;0.03;0.35;0.61;3.39;-0.08;-0.45;-0.4;1;1.09;1;19880;114;57.34
1807;Moimenta da Beira;1.75;0.08;36.67;0.49;130.12;2.03;0.04;116.37;7.29;95.65;0.11;0.23;0.66;3.42;-0.89;0;-0.23;0.71;-0.9;4;10212;35;34.27
1808;Mortágua;1.75;0.14;34.64;0.61;139.81;1.6;0.04;186.54;7.14;95.87;0.08;0.35;0.57;3.43;-0.35;-0.77;-0.84;1.33;-0.09;1;9607;16;16.65
1809;Nelas;1.77;0.16;38.64;0.61;136.97;1.62;0.05;132.12;7.5;97.42;0.03;0.4;0.58;3.44;0.05;-0.5;-0.93;1.07;0.15;1;14037;47;33.48
1810;Oliveira de Frades;1.74;0.09;37.33;0.63;132.36;1.57;0.04;103;7.42;96.1;0.08;0.43;0.48;3.37;0.27;-1.37;-0.43;-0.25;-0.93;2;10261;48;46.78
1811;Penalva do Castelo;1.83;0.14;35.73;0.56;119.07;1.79;0.02;167.47;6.79;95.61;0.08;0.37;0.55;3.35;-0.59;-1.12;0.12;-0.19;-0.16;4;7956;0;0
